#------------------------------------
# Weapon Anim IDs
#------------------------------------
# WeaponCategoryHandStyle
037901 - MagicBuffRight_NoPoints
037901 - MagicBuffRight_NoPoints_Upper
037920 - MagicBuffRight2
037921 - MagicBuffRight2_NoPoints
037940 - MagicBuffRight3
037941 - MagicBuffRight3_NoPoints
038020 - CircleStepStartSelftransRight
038020 - CircleStepStartRight
038021 - CircleStepStartSelftransRight_NoPoints
038021 - CircleStepStartRight_NoPoints
038030 - CircleStepStartSelftransLeft
038030 - CircleStepStartLeft
038031 - CircleStepStartSelftransLeft_NoPoints
038031 - CircleStepStartLeft_NoPoints
038040 - CircleStepSelftransFrontLeft
038040 - CircleStepFrontLeft
038041 - CircleStepSelftransFrontLeft_NoPoints
038041 - CircleStepFrontLeft_NoPoints
038050 - CircleStepSelftransFrontRight
038050 - CircleStepFrontRight
038051 - CircleStepSelftransFrontRight_NoPoints
038051 - CircleStepFrontRight_NoPoints
038060 - CircleStepStartSelftransBackRight
038060 - CircleStepStartBackRight
038061 - CircleStepStartSelftransBackRight_NoPoints
038061 - CircleStepStartBackRight_NoPoints
038070 - CircleStepStartSelftransBackLeft
038070 - CircleStepStartBackLeft
038071 - CircleStepStartSelftransBackLeft_NoPoints
038071 - CircleStepStartBackLeft_NoPoints
038100 - ChargeShotRightStart
038100 - ChargeShotRightStart_Upper
038110 - ChargeShotRightLoop
038110 - ChargeShotRightLoop_Upper
038120 - ChargeShotRightEnd
038120 - ChargeShotRightEnd_Upper
038130 - ChargeShotRightFire
038131 - ChargeShotRightFire_NoPoints
038140 - ChargeShotRightHoldStart
038140 - ChargeShotRightHoldStart_Upper
038150 - ChargeShotRightHoldLoop
038150 - ChargeShotRightHoldLoop_Upper
038200 - CrossbowStepInStart
038200 - CrossbowStepInRightStart_Upper
038201 - CrossbowStepInStart_NoPoints
038201 - CrossbowStepInRightStart_NoPoints_Upper
038210 - CrossbowStepInFire
038211 - CrossbowStepInFire_NoPoints
038220 - CrossbowStepInReload
038221 - CrossbowStepInReload_NoPoints
038300 - HeadHunt
038300 - HeadHunt_Upper
038301 - HeadHunt_NoPoints
038301 - HeadHunt_NoPoints_Upper
038400 - OneShot
038400 - OneShot_Upper
038401 - OneShot_NoPoints
038401 - OneShot_NoPoints_Upper
038510 - OneShotFullBothStart
038511 - OneShotFullBothStart_NoPoints
038700 - OneShotNoGenTransStart
038701 - OneShotNoGenTransStart_NoPoint
038710 - OneShotNoGenTransContinue
038711 - OneShotNoGenTransContinuet_NoPoint
038800 - StormStanceStart
038800 - StormStanceStart_Upper
038805 - StormStanceFullStart
038805 - StormStanceFullStart_Upper
038810 - StormStanceLoop
038810 - StormStanceLoop_Upper
038815 - StormStanceFullLoop
038815 - StormStanceFullLoop_Upper
038820 - StormStanceLoopMove_Upper
038825 - StormStanceFullLoopMove_Upper
038830 - StormStanceEnd
038830 - StormStanceEnd_Upper
038835 - StormStanceFullEnd
038835 - StormStanceFullEnd_Upper
038840 - StormStanceLight
038841 - StormStanceLight_NoPoints
038845 - StormStanceFullLight
038850 - StormStanceHeavy
038851 - StormStanceHeavy_NoPoints
038855 - StormStanceFullHeavy
038860 - StormStanceChange
038860 - StormStanceChange_Upper
038870 - StormStanceFullLight_NonBoss
038871 - StormStanceFullLight_NonBoss_NoPoints
038880 - StormStanceFullHeavy_NonBoss
038881 - StormStanceFullHeavy_NonBoss_NoPoints
038900 - FourWayAttackStartRight
038900 - FourWayAttackStartRight_SelfTrans
038901 - FourWayAttackStartRight_NoPoints
038901 - FourWayAttackStartRight_NoPoints_SelfTrans
038910 - FourWayAttackStartLeft
038910 - FourWayAttackStartLeft_SelfTrans
038911 - FourWayAttackStartLeft_NoPoints
038911 - FourWayAttackStartLeft_NoPoints_SelfTrans
038920 - FourWayAttackStartFrontRight
038920 - FourWayAttackStartFrontRight_SelfTrans
038921 - FourWayAttackStartFrontRight_NoPoints
038921 - FourWayAttackStartFrontRight_NoPoints_SelfTrans
038930 - FourWayAttackStartFrontLeft
038930 - FourWayAttackStartFrontLeft_SelfTrans
038931 - FourWayAttackStartFrontLeft_NoPoints
038931 - FourWayAttackStartFrontLeft_NoPoints_SelfTrans
038940 - FourWayAttackStartBackRight
038940 - FourWayAttackStartBackRight00
038941 - FourWayAttackStartBackRight_NoPoints
038941 - FourWayAttackStartBackRight_NoPoints00
038950 - FourWayAttackStartBackLeft
038950 - FourWayAttackStartBackLeft00
038951 - FourWayAttackStartBackLeft_NoPoints
038951 - FourWayAttackStartBackLeft_NoPoints00
038960 - FourWayAttackHeavy
038961 - FourWayAttackHeavy_NoPoints
038970 - FourWayAttackLight
038971 - FourWayAttackLight_NoPoints
039000 - GatlingStanceRightStart
039000 - GatlingStanceRightStart_Upper
039010 - GatlingStanceRightLoop
039010 - GatlingStanceRightLoop_Upper
039020 - GatlingStanceRightLoopRun_Upper
039040 - GatlingStanceRightEnd
039040 - GatlingStanceRightEnd_Upper
039100 - RandomOneShot1
039101 - RandomOneShot1_NoPoints
039110 - RandomOneShotNext1
039111 - RandomOneShotNext1_NoPoints
039120 - RandomOneShotNext2
039121 - RandomOneShotNext2_NoPoints
039130 - RandomOneShotNext3
039131 - RandomOneShotNext3_NoPoints
039140 - RandomOneShotNext4
039141 - RandomOneShotNext4_NoPoints
039210 - DrawStanceRightLoopMaxNoSync
039210 - DrawStanceRightLoopMaxNoSync_Upper
039215 - DrawStanceRightLoopMaxNoSync_Upper_NoPoints
039230 - DrawStanceRightAttackMaxLight
039231 - DrawStanceRightAttackMaxLight_NoPoints
039232 - DrawStanceRightAttackMaxLightR90
039233 - DrawStanceRightAttackMaxLightR90_NoPoints
039234 - DrawStanceRightAttackMaxLight180
039235 - DrawStanceRightAttackMaxLight180_NoPoints
039240 - DrawStanceRightAttackMaxHeavy
039241 - DrawStanceRightAttackMaxHeavy_NoPoints
039242 - DrawStanceRightAttackMaxHeavyR90
039243 - DrawStanceRightAttackMaxHeavyR90_NoPoints
039244 - DrawStanceRightAttackMaxHeavy180
039245 - DrawStanceRightAttackMaxHeavy180_NoPoints

# WeaponCategoryRight
030000 - AttackRightLight1
030000 - AttackCrossbowRightFire
030000 - AttackCrossbowRightFire_Upper
030010 - AttackRightLight2
030020 - AttackRightLight3
030050 - AttackRightWhileGuardNormal
030051 - AttackRightWhileGuardHeavy
030052 - AttackRightWhileGuardSmall
030053 - AttackRightWhileGuardTorch
030100 - AttackRightLightKick
030150 - GuardBreakWallRight
030200 - GuardDamageBreakRight
030320 - AttackRightHeavy1Start
030321 - AttackRightHeavy1End
030325 - AttackRightHeavyWepBroken1Start
030330 - AttackRightHeavy1SubStart
030330 - AttackRightHeavy1SubStart00
030340 - AttackRightHeavy2Start
030341 - AttackRightHeavy2End
030345 - AttackRightHeavyWepBroken2Start
030350 - AttackRightHeavySpecial1Start
030351 - AttackRightHeavySpecial1End
030360 - AttackRightHeavySpecial1SubStart
030370 - AttackRightHeavySpecial2Start
030371 - AttackRightHeavySpecial2End
030500 - AttackRightLightDash
030510 - AttackRightLightDashSpecial
030600 - AttackRightHeavyKick
030610 - AttackRightHeavyKickSpecial
030900 - AttackRightLightStep
030910 - AttackRightLightStepSpecial
030920 - AttackRightBackstep
030930 - AttackRightCounter
031500 - AttackCrossbowRightStart
031500 - AttackCrossbowRightStart_Upper
031510 - AttackCrossbowRightEmpty
031510 - AttackCrossbowRightEmpty_Upper
031520 - AttackCrossbowRightReload
031520 - AttackCrossbowRightReload_Upper
031530 - AttackCrossbowRightLoop
031530 - AttackCrossbowRightLoop_Upper
031540 - AttackCrossbowRightMoveLoop_Upper
034000 - AttackCrossbowBothRightFire
034000 - AttackCrossbowBothRightFire_Upper
035500 - AttackCrossbowBothRightStart
035500 - AttackCrossbowBothRightStart_Upper
035510 - AttackCrossbowBothRightEmpty
035510 - AttackCrossbowBothRightEmpty_Upper
035520 - AttackCrossbowBothRightReload
035520 - AttackCrossbowBothRightReload_Upper
035530 - AttackCrossbowBothRightLoop
035530 - AttackCrossbowBothRightLoop_Upper
035540 - AttackCrossbowBothRightMoveLoop_Upper
038500 - OneShotFullRightStart
038501 - OneShotFullRightStart_NoPoints
039050 - GatlingStanceRightFireStart
039050 - GatlingStanceRightFireStart_Upper
039051 - GatlingStanceRightFireStart_NoPoints
039051 - GatlingStanceRightFireStart_Upper_NoPoints
050000 - AttackRightLight1Alt
050010 - AttackRightLight2Alt
050020 - AttackRightLight3Alt
050030 - AttackRightLight4Alt
050320 - AttackRightHeavy1StartAlt
050325 - AttackRightHeavy1EndAlt
050330 - AttackRightHeavy1SubStartAlt
050340 - AttackRightHeavy2StartAlt
050345 - AttackRightHeavy2EndAlt
050500 - AttackRightLightDashAlt
050900 - AttackRightLightStepAlt
054000 - AttackBothLight1Alt
054010 - AttackBothLight2Alt
054020 - AttackBothLight3Alt
054030 - AttackBothLight4Alt
054040 - AttackBothLight5Alt
054320 - AttackBothHeavy1StartAlt
054325 - AttackBothHeavy1EndAlt
054330 - AttackBothHeavy1SubStartAlt
054340 - AttackBothHeavy2StartAlt
054345 - AttackBothHeavy2EndAlt
054500 - AttackBothDashAlt
054900 - AttackBothLightStepAlt

# WeaponCategoryLeft
000000 - PrayBroLeftFire
000000 - PrayBroLeftFire_Upper
032000 - AttackLeftHeavy1a00 
032000 - AttackLeftLight1 
032000 - AttackCrossbowLeftFire
032030 - AttackLeftHeavy2a00
032060 - AttackLeftHeavy3a00
032090 - AttackLeftHeavySp1
032091 - AttackLeftHeavySp2
032092 - AttackLeftHeavySp3
032100 - ParryLeft1
032101 - ParryLeftStart1_WepBreak
032110 - ParryLeft2
032111 - ParryLeftStart2_WepBreak
032120 - ParryLeft3
032121 - ParryLeftStart3_WepBreak
032150 - GuardBreakWallLeft
032200 - GuardDamageBreakLeft
033500 - AttackCrossbowLeftStart
033500 - AttackCrossbowLeftStart_Upper
033510 - AttackCrossbowLeftEmpty
033510 - AttackCrossbowLeftEmpty_Upper
033520 - AttackCrossbowLeftReload
033520 - AttackCrossbowLeftReload_Upper
033530 - AttackCrossbowLeftLoop
033530 - AttackCrossbowLeftLoop_Upper
033540 - AttackCrossbowLeftMoveLoop_Upper
034001 - AttackCrossbowBothLeftFire
034001 - AttackCrossbowBothLeftFire_Upper
035500 - AttackCrossbowBothLeftStart
035500 - AttackCrossbowBothLeftStart_Upper
035510 - AttackCrossbowBothLeftEmpty
035510 - AttackCrossbowBothLeftEmpty_Upper
035521 - AttackCrossbowBothLeftReload
035521 - AttackCrossbowBothLeftReload_Upper
035531 - AttackCrossbowBothLeftLoop
035531 - AttackCrossbowBothLeftLoop_Upper
035541 - AttackCrossbowBothLeftMoveLoop_Upper
037910 - MagicBuffLeft
037910 - MagicBuffLeft_Upper
037911 - MagicBuffLeft_NoPoints
037911 - MagicBuffLeft_NoPoints_Upper
037930 - MagicBuffLeft2
037931 - MagicBuffLeft2_NoPoints
037950 - MagicBuffLeft3
037951 - MagicBuffLeft3_NoPoints
038520 - OneShotFullLeftStarta00
038521 - OneShotFullLeftStarta00_NoPoints
038530 - OneShotFullLeftStarta02
038531 - OneShotFullLeftStarta02_NoPoints
038540 - OneShotFullLeftStarta03
038541 - OneShotFullLeftStarta03_NoPoints
039055 - GatlingStanceRightFireStartLeft
039055 - GatlingStanceRightFireStartLeft_Upper
039056 - GatlingStanceRightFireStartLeft_NoPoints
039056 - GatlingStanceRightFireStartLeft_Upper_NoPoints


#------------------------------------
# Catalyst Anim IDs
#------------------------------------
# WeaponCategoryHandStyle
040000 - ENBulletRightLaunch
040000 - WeaponEnchantRightLaunch
040000 - ENBulletRightLaunchSA
040000 - WeaponEnchantRightLaunchSA
040000 - ENBulletRightLaunch_Upper
040000 - WeaponEnchantRightLaunch_Upper
040000 - ENBulletRightLaunchSA_Upper
040000 - WeaponEnchantRightLaunchSA_Upper
040002 - SelfEnchantRightLaunch
040002 - SelfEnchantRightLaunchSA
040002 - SelfEnchantRightLaunch_Upper
040002 - SelfEnchantRightLaunchSA_Upper
040003 - PrayRightLaunch
040003 - PrayHoldRightLaunch
040003 - PrayRightLaunchSA
040003 - PrayHoldRightLaunchSA
040003 - PrayRightLaunch_Upper
040003 - PrayHoldRightLaunch_Upper
040003 - PrayRightLaunchSA_Upper
040003 - PrayHoldRightLaunchSA_Upper
040004 - FlameRadiationRightLaunch
040004 - FlameRadiationRightLaunchSA
040004 - FlameRadiationRightLaunch_Upper
040004 - FlameRadiationRightLaunchSA_Upper
040005 - SelfEnchantCauseRightLaunch
040005 - SelfEnchantCauseRightLaunchSA
040005 - SelfEnchantCauseRightLaunch_Upper
040005 - SelfEnchantCauseRightLaunchSA_Upper
040006 - DrainRightLaunch
040006 - DrainRightLaunchSA
040006 - DrainRightLaunch_Upper
040006 - DrainRightLaunch_UpperSA
040007 - FireNearRightLaunch
040007 - FireNearRightLaunchSA
040007 - FireNearRightLaunch_Upper
040007 - FireNearRightLaunchSA_Upper
040008 - CloudRightLaunch
040008 - CloudRightLaunchSA
040008 - CloudRightLaunch_Upper
040008 - CloudRightLaunchSA_Upper
040009 - SparkRightLaunch
040009 - SparkRightLaunchSA
040009 - SparkRightLaunch_Upper
040009 - SparkRightLaunchSA_Upper
040010 - CharmRightLaunch
040010 - CharmRightLaunchSA
040010 - CharmRightLaunch_Upper
040010 - CharmRightLaunchSA_Upper
040011 - ChameleonRightLaunch
040011 - ChameleonRightLaunchSA
040011 - ChameleonRightLaunch_Upper
040011 - ChameleonRightLaunchSA_Upper
040012 - TransformRightLaunch
040012 - TransformRightLaunchSA
040012 - TransformRightLaunch_Upper
040012 - TransformRightLaunchSA_Upper
040013 - BreathRightLaunch
040013 - BreathRightLaunchSA
040013 - BreathRightLaunch_Upper
040013 - BreathRightLaunchSA_Upper
040014 - WeaponEnchant2RightLaunch
040014 - WeaponEnchant2RightLaunchSA
040014 - WeaponEnchant2RightLaunch_Upper
040014 - WeaponEnchant2RightLaunchSA_Upper
040015 - SummonRightLaunch
040015 - SummonRightLaunchSA
040015 - SummonRightLaunch_Upper
040015 - SummonRightLaunchSA_Upper
040016 - ShieldEnchantRightLaunch
040016 - ShieldEnchantRightLaunchSA
040016 - ShieldEnchantRightLaunch_Upper
040016 - ShieldEnchantRightLaunchSA_Upper
040018 - ThunderRightLaunch
040018 - ThunderRightLaunchSA
040018 - ThunderRightLaunch_Upper
040018 - ThunderRightLaunchSA_Upper
040019 - EnvironmentRightLaunch
040019 - EnvironmentRightLaunchSA
040019 - EnvironmentRightLaunch_Upper
040019 - EnvironmentRightLaunchSA_Upper
040020 - PrayBroRightLaunch
040020 - PrayBroRightLaunchSA
040020 - PrayBroRightLaunch_Upper
040020 - PrayBroRightLaunchSA_Upper
040021 - Throw40021
040022 - ImpactRightLaunch
040022 - ImpactRightLaunchSA
040022 - ImpactRightLaunch_Upper
040022 - ImpactRightLaunchSA_Upper
040024 - ENBullet2RightLaunch
040024 - ENBullet2RightLaunchSA
040024 - ENBullet2RightLaunch_Upper
040024 - ENBullet2RightLaunchSA_Upper
040025 - FlamethrowerRightLaunch
040025 - FlamethrowerRightLaunchSA
040025 - FlamethrowerRightLaunch_Upper
040025 - FlamethrowerRightLaunchSA_Upper
040026 - WhipRightLaunch
040026 - WhipRightLaunchSA
040026 - WhipRightLaunch_Upper
040026 - WhipRightLaunchSA_Upper
040027 - SlashRightLaunch
040027 - SlashRightLaunchSA
040027 - SlashRightLaunch_Upper
040027 - SlashRightLaunchSA_Upper
040028 - PrayStandRightLaunch
040028 - PrayStandRightLaunchSA
040028 - PrayStandRightLaunch_Upper
040028 - PrayStandRightLaunchSA_Upper
040029 - AOEPrayHoldRightLaunch
040029 - AOEPrayHoldRightLaunchSA
040029 - AOEPrayHoldRightLaunch_Upper
040029 - AOEPrayHoldRightLaunchSA_Upper
040030 - QuickENBulletRightLaunch
040030 - QuickENBulletRightLaunchSA
040030 - QuickENBulletRightLaunch_Upper
040030 - QuickENBulletRightLaunchSA_Upper
040031 - QuickSlashRightLaunch
040031 - QuickSlashRightLaunchSA
040031 - QuickSlashRightLaunch_Upper
040031 - QuickSlashRightLaunchSA_Upper
040032 - FlameBackHandRightLaunch
040032 - FlameBackHandRightLaunchSA
040032 - FlameBackHandRightLaunch_Upper
040032 - FlameBackHandRightLaunchSA_Upper
040033 - FlameGrabRightLaunch
040033 - FlameGrabRightLaunchSA
040033 - FlameGrabRightLaunch_Upper
040033 - FlameGrabRightLaunchSA_Upper
040034 - CrushRightLaunch
040034 - CrushRightLaunchSA
040034 - CrushRightLaunch_Upper
040034 - CrushRightLaunchSA_Upper
040035 - MiracleRadiationRightLaunch
040035 - MiracleRadiationRightLaunchSA
040035 - MiracleRadiationRightLaunch_Upper
040035 - MiracleRadiationRightLaunchSA_Upper
040036 - LightningRodRightLaunch
040036 - LightningRodRightLaunchSA
040036 - LightningRodRightLaunch_Upper
040036 - LightningRodRightLaunchSA_Upper
040037 - ChopRightLaunch
040037 - ChopRightLaunchSA
040037 - ChopRightLaunch_Upper
040037 - ChopRightLaunchSA_Upper
040038 - TrapRightLaunch
040038 - TrapRightLaunchSA
040038 - TrapRightLaunch_Upper
040038 - TrapRightLaunchSA_Upper
040039 - WrathRightLaunch
040039 - WrathRightLaunchSA
040039 - WrathRightLaunch_Upper
040039 - WrathRightLaunchSA_Upper
040040 - BeamCannonRightLaunch
040040 - BeamCannonRightLaunchSA
040040 - BeamCannonRightLaunch_Upper
040040 - BeamCannonRightLaunchSA_Upper
040041 - MachineGunRightLaunch
040041 - MachineGunRightLaunchSA
040041 - MachineGunRightLaunch_Upper
040041 - MachineGunRightLaunchSA_Upper
040042 - StrongENBulletRightLaunch
040042 - StrongENBulletRightLaunchSA
040042 - StrongENBulletRightLaunch_Upper
040042 - StrongENBulletRightLaunchSA_Upper
040043 - FastSparkRightLaunch
040043 - FastSparkRightLaunchSA
040043 - FastSparkRightLaunch_Upper
040043 - FastSparkRightLaunchSA_Upper
040044 - FastFlameRadiationRightLaunch
040044 - FastFlameRadiationRightLaunchSA
040044 - FastFlameRadiationRightLaunch_Upper
040044 - FastFlameRadiationRightLaunchSA_Upper
040045 - ScytheRightLaunch
040045 - ScytheRightLaunchSA
040045 - ScytheRightLaunch_Upper
040045 - ScytheRightLaunchSA_Upper
040046 - HolySparkRightLaunch
040046 - HolySparkRightLaunchSA
040046 - HolySparkRightLaunch_Upper
040046 - HolySparkRightLaunchSA_Upper
040047 - SpitRightLaunch
040047 - SpitRightLaunchSA
040047 - SpitRightLaunch_Upper
040047 - SpitRightLaunchSA_Upper
040099 - MagicInvalidRight
040099 - MagicInvalidRight_Upper
040103 - PrayHoldRightLoop
040103 - PrayHoldRightLoopSA
040103 - PrayHoldRightLoop_Upper
040103 - PrayHoldRightLoopSA_Upper
040129 - AOEPrayHoldRightLoop
040129 - AOEPrayHoldRightLoopSA
040129 - AOEPrayHoldRightLoop_Upper
040129 - AOEPrayHoldRightLoopSA_Upper
040147 - SpitHoldRightLoop
040147 - SpitHoldRightLoopSA
040147 - SpitHoldRightLoop_Upper
040147 - SpitHoldRightLoopSA_Upper
040150 - BowHoldRightLoop
040150 - BowHoldRightLoopSA
040150 - BowHoldRightLoop_Upper
040150 - BowHoldRightLoopSA_Upper
040247 - MagicLoopRightLvl2
040247 - MagicLoopRightLvl2_Upper
040300 - ENBulletRightFire
040300 - WeaponEnchantRightFire
040300 - ENBulletRightFire_Upper
040300 - WeaponEnchantRightFire_Upper
040302 - SelfEnchantRightFire
040302 - SelfEnchantRightFire_Upper
040303 - PrayRightFire
040303 - PrayHoldRightFire
040303 - PrayRightFire_Upper
040303 - PrayHoldRightFire_Upper
040304 - FlameRadiationRightFire
040304 - FlameRadiationRightFire_Upper
040305 - SelfEnchantFlameRightFire
040305 - SelfEnchantFlameRightFire_Upper
040306 - DrainRightFire
040306 - DrainRightFire_Upper
040307 - FireNearRightFire
040307 - FireNearRightFire_Upper
040308 - CloudRightFire
040308 - CloudRightFire_Upper
040309 - SparkRightFire
040309 - SparkRightFire_Upper
040310 - CharmRightFire
040310 - CharmRightFire_Upper
040311 - ChameleonRightFire
040311 - ChameleonRightFire_Upper
040312 - TransformRightFire
040312 - TransformRightFire_Upper
040314 - WeaponEnchant2RightFire
040314 - WeaponEnchant2RightFire_Upper
040315 - SummonRightFire
040315 - SummonRightFire_Upper
040316 - ShieldEnchantRightFire
040316 - ShieldEnchantRightFire_Upper
040317 - ForceRightFire
040317 - ForceRightFire_Upper
040318 - ThunderRightFire
040318 - ThunderRightFire_Upper
040319 - EnvironmentRightFire
040319 - EnvironmentRightFire_Upper
040320 - BreathRightFire
040320 - BreathRightFire_Upper
040322 - ImpactRightFire
040322 - ImpactRightFire_Upper
040324 - ENBullet2RightFire
040324 - ENBullet2RightFire_Upper
040325 - FlamethrowerRightLoop
040325 - FlamethrowerHoldRightLoopSA
040325 - FlamethrowerHoldRightLoop_Upper
040325 - FlamethrowerRightLoopSA_Upper
040326 - WhipRightFire
040326 - WhipRightFire_Upper
040327 - SlashRightFire
040327 - SlashRightFire_Upper
040328 - PrayStandRightFire
040328 - PrayStandRightFire_Upper
040329 - AOEPrayHoldRightFire
040329 - AOEPrayHoldRightFire_Upper
040330 - QuickENBulletFireRightNormal
040330 - QuickENBulletRightFire
040330 - QuickENBulletFireRightNormal_Upper
040330 - QuickENBulletRightFire_Upper
040331 - QuickSlashFireRightNormal
040331 - QuickSlashRightFire
